Sexo;Edad;Provincias;Periodo;Total
ambos sexos;1 anyo;pais vasco;2020.0;8087.0
ambos sexos;1 anyo;castilla y leon;2020.0;2410.0
ambos sexos;1 anyo;extremadura;2020.0;2622.0
ambos sexos;1 anyo;andalucia;2020.0;10374.0
ambos sexos;1 anyo;cantabria;2020.0;3860.0
ambos sexos;1 anyo;comunidad valenciana;2020.0;4730.0
ambos sexos;1 anyo;castilla-la mancha;2020.0;3728.0
ambos sexos;1 anyo;andalucia;2020.0;6265.0
ambos sexos;1 anyo;galicia;2020.0;7293.0
ambos sexos;1 anyo;castilla-la mancha;2020.0;1338.0
ambos sexos;1 anyo;pais vasco;2020.0;5554.0
ambos sexos;1 anyo;catalunya;2020.0;6911.0
ambos sexos;1 anyo;andalucia;2020.0;7579.0
ambos sexos;1 anyo;castilla-la mancha;2020.0;2242.0
ambos sexos;1 anyo;andalucia;2020.0;4311.0
ambos sexos;1 anyo;aragon;2020.0;1709.0
ambos sexos;1 anyo;andalucia;2020.0;4902.0
ambos sexos;1 anyo;castilla y leon;2020.0;2674.0
ambos sexos;1 anyo;catalunya;2020.0;3564.0
ambos sexos;1 anyo;galicia;2020.0;1997.0
ambos sexos;1 anyo;comunidad de madrid;2020.0;58359.0
ambos sexos;1 anyo;andalucia;2020.0;13937.0
ambos sexos;1 anyo;murcia;2020.0;14835.0
ambos sexos;1 anyo;navarra;2020.0;5557.0
ambos sexos;1 anyo;galicia;2020.0;1510.0
ambos sexos;1 anyo;castilla y leon;2020.0;987.0
ambos sexos;1 anyo;canarias;2020.0;7943.0
ambos sexos;1 anyo;galicia;2020.0;6102.0
ambos sexos;1 anyo;la rioja;2020.0;2408.0
ambos sexos;1 anyo;castilla y leon;2020.0;2108.0
ambos sexos;1 anyo;canarias;2020.0;7222.0
ambos sexos;1 anyo;castilla y leon;2020.0;1074.0
ambos sexos;1 anyo;andalucia;2020.0;17222.0
ambos sexos;1 anyo;castilla y leon;2020.0;626.0
ambos sexos;1 anyo;catalunya;2020.0;6884.0
ambos sexos;1 anyo;aragon;2020.0;962.0
ambos sexos;1 anyo;castilla-la mancha;2020.0;6060.0
ambos sexos;1 anyo;comunidad valenciana;2020.0;19788.0
ambos sexos;1 anyo;castilla y leon;2020.0;3592.0
ambos sexos;1 anyo;castilla y leon;2020.0;875.0
ambos sexos;1 anyo;aragon;2020.0;7556.0
ambos sexos;1 anyo;ceuta;2020.0;950.0
ambos sexos;1 anyo;melilla;2020.0;1298.0
ambos sexos;2 anyos;total nacional;2020.0;405115.0
ambos sexos;2 anyos;castilla-la mancha;2020.0;3314.0
ambos sexos;2 anyos;comunidad valenciana;2020.0;16006.0
ambos sexos;2 anyos;andalucia;2020.0;7804.0
ambos sexos;2 anyos;pais vasco;2020.0;3010.0
ambos sexos;2 anyos;asturias;2020.0;6208.0
ambos sexos;2 anyos;castilla y leon;2020.0;1121.0
ambos sexos;2 anyos;extremadura;2020.0;5779.0
ambos sexos;2 anyos;islas baleares;2020.0;10716.0
ambos sexos;2 anyos;catalunya;2020.0;50709.0
ambos sexos;2 anyos;pais vasco;2020.0;8730.0
ambos sexos;2 anyos;castilla y leon;2020.0;2559.0
ambos sexos;2 anyos;extremadura;2020.0;2789.0
ambos sexos;2 anyos;andalucia;2020.0;11060.0
ambos sexos;2 anyos;cantabria;2020.0;4262.0
ambos sexos;2 anyos;comunidad valenciana;2020.0;5041.0
ambos sexos;2 anyos;castilla-la mancha;2020.0;4095.0
ambos sexos;2 anyos;andalucia;2020.0;6574.0
ambos sexos;2 anyos;galicia;2020.0;8061.0
ambos sexos;2 anyos;castilla-la mancha;2020.0;1448.0
ambos sexos;2 anyos;pais vasco;2020.0;5750.0
ambos sexos;2 anyos;catalunya;2020.0;7479.0
ambos sexos;2 anyos;andalucia;2020.0;8162.0
ambos sexos;2 anyos;castilla-la mancha;2020.0;2366.0
ambos sexos;2 anyos;andalucia;2020.0;4796.0
ambos sexos;2 anyos;aragon;2020.0;1826.0
ambos sexos;2 anyos;andalucia;2020.0;4934.0
ambos sexos;2 anyos;castilla y leon;2020.0;2716.0
ambos sexos;2 anyos;catalunya;2020.0;3906.0
ambos sexos;2 anyos;galicia;2020.0;2129.0
ambos sexos;2 anyos;comunidad de madrid;2020.0;62158.0
ambos sexos;2 anyos;andalucia;2020.0;15228.0
ambos sexos;2 anyos;murcia;2020.0;15458.0
ambos sexos;2 anyos;navarra;2020.0;6032.0
ambos sexos;2 anyos;galicia;2020.0;1781.0
ambos sexos;2 anyos;castilla y leon;2020.0;1085.0
ambos sexos;2 anyos;canarias;2020.0;8614.0
ambos sexos;2 anyos;galicia;2020.0;7105.0
ambos sexos;2 anyos;la rioja;2020.0;2692.0
ambos sexos;2 anyos;castilla y leon;2020.0;2080.0
ambos sexos;2 anyos;canarias;2020.0;7997.0
ambos sexos;2 anyos;castilla y leon;2020.0;1123.0
ambos sexos;2 anyos;andalucia;2020.0;18167.0
ambos sexos;2 anyos;castilla y leon;2020.0;627.0
ambos sexos;2 anyos;catalunya;2020.0;7396.0
ambos sexos;2 anyos;aragon;2020.0;987.0
ambos sexos;2 anyos;castilla-la mancha;2020.0;6604.0
ambos sexos;2 anyos;comunidad valenciana;2020.0;21454.0
ambos sexos;2 anyos;castilla y leon;2020.0;3825.0
ambos sexos;2 anyos;castilla y leon;2020.0;899.0
ambos sexos;2 anyos;aragon;2020.0;8209.0
ambos sexos;2 anyos;ceuta;2020.0;980.0
ambos sexos;2 anyos;melilla;2020.0;1264.0
ambos sexos;3 anyos;total nacional;2020.0;428395.0
ambos sexos;3 anyos;castilla-la mancha;2020.0;3452.0
ambos sexos;3 anyos;comunidad valenciana;2020.0;16679.0
ambos sexos;3 anyos;andalucia;2020.0;8119.0
ambos sexos;3 anyos;pais vasco;2020.0;3182.0
ambos sexos;3 anyos;asturias;2020.0;6616.0
ambos sexos;3 anyos;castilla y leon;2020.0;1202.0
ambos sexos;3 anyos;extremadura;2020.0;5919.0
ambos sexos;3 anyos;islas baleares;2020.0;11316.0
ambos sexos;3 anyos;catalunya;2020.0;53278.0
ambos sexos;3 anyos;pais vasco;2020.0;9377.0
ambos sexos;3 anyos;castilla y leon;2020.0;2781.0
ambos sexos;3 anyos;extremadura;2020.0;2936.0
ambos sexos;3 anyos;andalucia;2020.0;12181.0
ambos sexos;3 anyos;cantabria;2020.0;4450.0
ambos sexos;3 anyos;comunidad valenciana;2020.0;5489.0
