ambos sexos;0 anyos;43 tarragona;1 de enero de 2020;
ambos sexos;0 anyos;44 teruel;1 de enero de 2020;
ambos sexos;0 anyos;45 toledo;1 de enero de 2020;
ambos sexos;0 anyos;46 valencia/valencia;1 de enero de 2020;
ambos sexos;0 anyos;47 valladolid;1 de enero de 2020;
ambos sexos;0 anyos;49 zamora;1 de enero de 2020;
ambos sexos;0 anyos;50 zaragoza;1 de enero de 2020;
ambos sexos;0 anyos;51 ceuta;1 de enero de 2020;
ambos sexos;0 anyos;52 melilla;1 de enero de 2020;
ambos sexos;1 anyo;total nacional;1 de enero de 2020;
ambos sexos;1 anyo;02 albacete;1 de enero de 2020;
ambos sexos;1 anyo;03 alicante/alacant;1 de enero de 2020;
ambos sexos;1 anyo;04 almeria;1 de enero de 2020;
ambos sexos;1 anyo;01 araba/alava;1 de enero de 2020;
ambos sexos;1 anyo;33 asturias;1 de enero de 2020;
ambos sexos;1 anyo;05 avila;1 de enero de 2020;
ambos sexos;1 anyo;06 badajoz;1 de enero de 2020;
ambos sexos;1 anyo;07 balears, illes;1 de enero de 2020;
ambos sexos;1 anyo;08 barcelona;1 de enero de 2020;
ambos sexos;1 anyo;48 bizkaia;1 de enero de 2020;
ambos sexos;1 anyo;09 burgos;1 de enero de 2020;
ambos sexos;1 anyo;10 caceres;1 de enero de 2020;
ambos sexos;1 anyo;11 cadiz;1 de enero de 2020;
ambos sexos;1 anyo;39 cantabria;1 de enero de 2020;
ambos sexos;1 anyo;12 castellon/castello;1 de enero de 2020;
ambos sexos;1 anyo;13 ciudad real;1 de enero de 2020;
ambos sexos;1 anyo;14 cordoba;1 de enero de 2020;
ambos sexos;1 anyo;15 corunya, a;1 de enero de 2020;
ambos sexos;1 anyo;16 cuenca;1 de enero de 2020;
ambos sexos;1 anyo;20 gipuzkoa;1 de enero de 2020;
ambos sexos;1 anyo;17 girona;1 de enero de 2020;
ambos sexos;1 anyo;18 granada;1 de enero de 2020;
ambos sexos;1 anyo;19 guadalajara;1 de enero de 2020;
ambos sexos;1 anyo;21 huelva;1 de enero de 2020;
ambos sexos;1 anyo;22 huesca;1 de enero de 2020;
ambos sexos;1 anyo;23 jaen;1 de enero de 2020;
ambos sexos;1 anyo;24 leon;1 de enero de 2020;
ambos sexos;1 anyo;25 lleida;1 de enero de 2020;
ambos sexos;1 anyo;27 lugo;1 de enero de 2020;
ambos sexos;1 anyo;28 madrid;1 de enero de 2020;
ambos sexos;1 anyo;29 malaga;1 de enero de 2020;
ambos sexos;1 anyo;30 murcia;1 de enero de 2020;
ambos sexos;1 anyo;31 navarra;1 de enero de 2020;
ambos sexos;1 anyo;32 ourense;1 de enero de 2020;
ambos sexos;1 anyo;34 palencia;1 de enero de 2020;
ambos sexos;1 anyo;35 palmas, las;1 de enero de 2020;
ambos sexos;1 anyo;36 pontevedra;1 de enero de 2020;
ambos sexos;1 anyo;26 rioja, la;1 de enero de 2020;
