CCAA;Viajeros_y_tasas;Periodo;Total
Total Nacional;Viajeros transportados;2020M10;97.813
Total Nacional;Viajeros transportados;2020M09;87.732
Total Nacional;Viajeros transportados;2020M08;66.891
Total Nacional;Viajeros transportados;2020M07;81.712
Total Nacional;Viajeros transportados;2020M06;63.863
Total Nacional;Viajeros transportados;2020M05;28.102
Total Nacional;Viajeros transportados;2020M04;12.737
Total Nacional;Viajeros transportados;2020M03;74.200
Total Nacional;Viajeros transportados;2020M02;158.565
Total Nacional;Viajeros transportados;2020M01;154.905
Total Nacional;Viajeros transportados;2019M12;147.533
Total Nacional;Viajeros transportados;2019M11;159.859
Total Nacional;Viajeros transportados;2019M10;175.501
Total Nacional;Viajeros transportados;2019M09;151.462
Total Nacional;Viajeros transportados;2019M08;113.651
Total Nacional;Viajeros transportados;2019M07;145.841
Total Nacional;Viajeros transportados;2019M06;153.355
Total Nacional;Viajeros transportados;2019M05;166.846
Total Nacional;Viajeros transportados;2019M04;149.922
Total Nacional;Viajeros transportados;2019M03;161.632
Total Nacional;Viajeros transportados;2019M02;149.612
Total Nacional;Viajeros transportados;2019M01;151.945
Total Nacional;Viajeros transportados;2018M12;145.415
Total Nacional;Viajeros transportados;2018M11;157.737
Total Nacional;Viajeros transportados;2018M10;166.873
Total Nacional;Viajeros transportados;2018M09;144.660
Total Nacional;Viajeros transportados;2018M08;111.409
Total Nacional;Viajeros transportados;2018M07;138.282
Total Nacional;Viajeros transportados;2018M06;152.406
Total Nacional;Viajeros transportados;2018M05;160.065
Total Nacional;Viajeros transportados;2018M04;152.132
Total Nacional;Viajeros transportados;2018M03;149.091
Total Nacional;Viajeros transportados;2018M02;141.606
Total Nacional;Viajeros transportados;2018M01;148.236
Total Nacional;Viajeros transportados;2017M12;138.530
Total Nacional;Viajeros transportados;2017M11;155.811
Total Nacional;Viajeros transportados;2017M10;159.602
Total Nacional;Viajeros transportados;2017M09;143.853
Total Nacional;Viajeros transportados;2017M08;110.945
Total Nacional;Viajeros transportados;2017M07;136.584
Total Nacional;Viajeros transportados;2017M06;151.223
Total Nacional;Viajeros transportados;2017M05;160.540
Total Nacional;Viajeros transportados;2017M04;137.997
Total Nacional;Viajeros transportados;2017M03;163.191
Total Nacional;Viajeros transportados;2017M02;142.698
Total Nacional;Viajeros transportados;2017M01;141.045
Total Nacional;Viajeros transportados;2016M12;141.128
Total Nacional;Viajeros transportados;2016M11;151.603
Total Nacional;Viajeros transportados;2016M10;156.443
Total Nacional;Viajeros transportados;2016M09;148.049
Total Nacional;Viajeros transportados;2016M08;109.050
Total Nacional;Viajeros transportados;2016M07;132.807
Total Nacional;Viajeros transportados;2016M06;149.236
Total Nacional;Viajeros transportados;2016M05;153.035
Total Nacional;Viajeros transportados;2016M04;149.809
Total Nacional;Viajeros transportados;2016M03;142.208
Total Nacional;Viajeros transportados;2016M02;139.142
Total Nacional;Viajeros transportados;2016M01;134.026
Total Nacional;Viajeros transportados;2015M12;140.217
Total Nacional;Viajeros transportados;2015M11;147.754
Total Nacional;Viajeros transportados;2015M10;153.378
Total Nacional;Viajeros transportados;2015M09;137.281
Total Nacional;Viajeros transportados;2015M08;100.216
Total Nacional;Viajeros transportados;2015M07;131.022
Total Nacional;Viajeros transportados;2015M06;141.255
Total Nacional;Viajeros transportados;2015M05;147.327
Total Nacional;Viajeros transportados;2015M04;139.380
Total Nacional;Viajeros transportados;2015M03;145.702
Total Nacional;Viajeros transportados;2015M02;132.316
Total Nacional;Viajeros transportados;2015M01;133.542
Total Nacional;Viajeros transportados;2014M12;137.086
Total Nacional;Viajeros transportados;2014M11;139.781
Total Nacional;Viajeros transportados;2014M10;157.759
Total Nacional;Viajeros transportados;2014M09;134.345
Total Nacional;Viajeros transportados;2014M08;94.539
Total Nacional;Viajeros transportados;2014M07;129.633
Total Nacional;Viajeros transportados;2014M06;135.998
Total Nacional;Viajeros transportados;2014M05;146.925
Total Nacional;Viajeros transportados;2014M04;137.001
Total Nacional;Viajeros transportados;2014M03;145.497
Total Nacional;Viajeros transportados;2014M02;134.017
Total Nacional;Viajeros transportados;2014M01;137.071
Total Nacional;Viajeros transportados;2013M12;132.658
Total Nacional;Viajeros transportados;2013M11;141.143
Total Nacional;Viajeros transportados;2013M10;157.271
Total Nacional;Viajeros transportados;2013M09;131.258
Total Nacional;Viajeros transportados;2013M08;95.827
Total Nacional;Viajeros transportados;2013M07;129.604
Total Nacional;Viajeros transportados;2013M06;136.858
Total Nacional;Viajeros transportados;2013M05;148.404
Total Nacional;Viajeros transportados;2013M04;146.869
Total Nacional;Viajeros transportados;2013M03;134.542
Total Nacional;Viajeros transportados;2013M02;131.939
Total Nacional;Viajeros transportados;2013M01;139.275
Total Nacional;Viajeros transportados;2012M12;129.673
Total Nacional;Viajeros transportados;2012M11;137.496
Total Nacional;Viajeros transportados;2012M10;151.073
Total Nacional;Viajeros transportados;2012M09;128.860
Total Nacional;Viajeros transportados;2012M08;99.095
Total Nacional;Viajeros transportados;2012M07;127.452
Total Nacional;Viajeros transportados;2012M06;143.243
Total Nacional;Viajeros transportados;2012M05;152.780
Total Nacional;Viajeros transportados;2012M04;135.330
Total Nacional;Viajeros transportados;2012M03;153.748
Total Nacional;Viajeros transportados;2012M02;143.221
Total Nacional;Viajeros transportados;2012M01;145.472
Total Nacional;Variación anual;2020M10;-44,3
Total Nacional;Variación anual;2020M09;-42,1
Total Nacional;Variación anual;2020M08;-41,1
Total Nacional;Variación anual;2020M07;-44,0
Total Nacional;Variación anual;2020M06;-58,4
Total Nacional;Variación anual;2020M05;-83,2
Total Nacional;Variación anual;2020M04;-91,5
Total Nacional;Variación anual;2020M03;-54,1
Total Nacional;Variación anual;2020M02;6,0
Total Nacional;Variación anual;2020M01;1,9
Total Nacional;Variación anual;2019M12;1,5
Total Nacional;Variación anual;2019M11;1,3
Total Nacional;Variación anual;2019M10;5,2
Total Nacional;Variación anual;2019M09;4,7
Total Nacional;Variación anual;2019M08;2,0
Total Nacional;Variación anual;2019M07;5,5
Total Nacional;Variación anual;2019M06;0,6
Total Nacional;Variación anual;2019M05;4,2
Total Nacional;Variación anual;2019M04;-1,5
Total Nacional;Variación anual;2019M03;8,4
Total Nacional;Variación anual;2019M02;5,7
Total Nacional;Variación anual;2019M01;2,5
Total Nacional;Variación anual;2018M12;5,0
Total Nacional;Variación anual;2018M11;1,2
Total Nacional;Variación anual;2018M10;4,6
Total Nacional;Variación anual;2018M09;0,6
Total Nacional;Variación anual;2018M08;0,4
Total Nacional;Variación anual;2018M07;1,2
Total Nacional;Variación anual;2018M06;0,8
Total Nacional;Variación anual;2018M05;-0,3
Total Nacional;Variación anual;2018M04;10,2
Total Nacional;Variación anual;2018M03;-8,6
Total Nacional;Variación anual;2018M02;-0,8
Total Nacional;Variación anual;2018M01;5,1
Total Nacional;Variación anual;2017M12;-1,8
Total Nacional;Variación anual;2017M11;2,8
Total Nacional;Variación anual;2017M10;2,0
Total Nacional;Variación anual;2017M09;-2,8
Total Nacional;Variación anual;2017M08;1,7
Total Nacional;Variación anual;2017M07;2,8
Total Nacional;Variación anual;2017M06;1,3
Total Nacional;Variación anual;2017M05;4,9
Total Nacional;Variación anual;2017M04;-7,9
Total Nacional;Variación anual;2017M03;14,8
Total Nacional;Variación anual;2017M02;2,6
Total Nacional;Variación anual;2017M01;5,2
Total Nacional;Variación anual;2016M12;0,6
Total Nacional;Variación anual;2016M11;2,6
Total Nacional;Variación anual;2016M10;2,0
Total Nacional;Variación anual;2016M09;7,8
Total Nacional;Variación anual;2016M08;8,8
Total Nacional;Variación anual;2016M07;1,4
Total Nacional;Variación anual;2016M06;5,7
Total Nacional;Variación anual;2016M05;3,9
Total Nacional;Variación anual;2016M04;7,5
Total Nacional;Variación anual;2016M03;-2,4
Total Nacional;Variación anual;2016M02;5,2
Total Nacional;Variación anual;2016M01;0,4
Total Nacional;Variación anual;2015M12;2,3
Total Nacional;Variación anual;2015M11;5,7
Total Nacional;Variación anual;2015M10;-2,8
Total Nacional;Variación anual;2015M09;2,2
Total Nacional;Variación anual;2015M08;6,0
Total Nacional;Variación anual;2015M07;1,1
Total Nacional;Variación anual;2015M06;3,9
Total Nacional;Variación anual;2015M05;0,3
Total Nacional;Variación anual;2015M04;1,7
Total Nacional;Variación anual;2015M03;0,1
Total Nacional;Variación anual;2015M02;-1,3
Total Nacional;Variación anual;2015M01;-2,6
Total Nacional;Variación anual;2014M12;3,3
Total Nacional;Variación anual;2014M11;-1,0
Total Nacional;Variación anual;2014M10;0,3
Total Nacional;Variación anual;2014M09;2,4
Total Nacional;Variación anual;2014M08;-1,3
Total Nacional;Variación anual;2014M07;0,0
Total Nacional;Variación anual;2014M06;-0,6
Total Nacional;Variación anual;2014M05;-1,0
Total Nacional;Variación anual;2014M04;-6,7
Total Nacional;Variación anual;2014M03;8,1
Total Nacional;Variación anual;2014M02;1,6
Total Nacional;Variación anual;2014M01;-1,6
Total Nacional;Variación anual;2013M12;2,3
Total Nacional;Variación anual;2013M11;2,7
Total Nacional;Variación anual;2013M10;4,1
Total Nacional;Variación anual;2013M09;1,9
Total Nacional;Variación anual;2013M08;-3,3
Total Nacional;Variación anual;2013M07;1,7
Total Nacional;Variación anual;2013M06;-4,5
Total Nacional;Variación anual;2013M05;-2,9
Total Nacional;Variación anual;2013M04;8,5
Total Nacional;Variación anual;2013M03;-12,5
Total Nacional;Variación anual;2013M02;-7,9
Total Nacional;Variación anual;2013M01;-4,3
Total Nacional;Variación anual;2012M12;-9,5
Total Nacional;Variación anual;2012M11;-10,2
Total Nacional;Variación anual;2012M10;-2,7
Total Nacional;Variación anual;2012M09;-10,1
Total Nacional;Variación anual;2012M08;-6,6
Total Nacional;Variación anual;2012M07;-4,3
Total Nacional;Variación anual;2012M06;-5,4
Total Nacional;Variación anual;2012M05;-4,7
Total Nacional;Variación anual;2012M04;-5,7
Total Nacional;Variación anual;2012M03;-5,1
Total Nacional;Variación anual;2012M02;-0,4
Total Nacional;Variación anual;2012M01;1,7
Total Nacional;Variación de la media en lo que va de año;2020M10;-45,6
Total Nacional;Variación de la media en lo que va de año;2020M09;-45,8
Total Nacional;Variación de la media en lo que va de año;2020M08;-46,3
Total Nacional;Variación de la media en lo que va de año;2020M07;-46,8
Total Nacional;Variación de la media en lo que va de año;2020M06;-47,2
Total Nacional;Variación de la media en lo que va de año;2020M05;-45,1
Total Nacional;Variación de la media en lo que va de año;2020M04;-34,7
Total Nacional;Variación de la media en lo que va de año;2020M03;-16,3
Total Nacional;Variación de la media en lo que va de año;2020M02;4,0
Total Nacional;Variación de la media en lo que va de año;2020M01;1,9
Total Nacional;Variación de la media en lo que va de año;2019M12;3,4
Total Nacional;Variación de la media en lo que va de año;2019M11;3,5
Total Nacional;Variación de la media en lo que va de año;2019M10;3,8
Total Nacional;Variación de la media en lo que va de año;2019M09;3,6
Total Nacional;Variación de la media en lo que va de año;2019M08;3,4
Total Nacional;Variación de la media en lo que va de año;2019M07;3,6
Total Nacional;Variación de la media en lo que va de año;2019M06;3,3
Total Nacional;Variación de la media en lo que va de año;2019M05;3,8
Total Nacional;Variación de la media en lo que va de año;2019M04;3,7
Total Nacional;Variación de la media en lo que va de año;2019M03;5,5
Total Nacional;Variación de la media en lo que va de año;2019M02;4,0
Total Nacional;Variación de la media en lo que va de año;2019M01;2,5
Total Nacional;Variación de la media en lo que va de año;2018M12;1,5
Total Nacional;Variación de la media en lo que va de año;2018M11;1,2
Total Nacional;Variación de la media en lo que va de año;2018M10;1,2
Total Nacional;Variación de la media en lo que va de año;2018M09;0,8
Total Nacional;Variación de la media en lo que va de año;2018M08;0,8
Total Nacional;Variación de la media en lo que va de año;2018M07;0,8
Total Nacional;Variación de la media en lo que va de año;2018M06;0,8
Total Nacional;Variación de la media en lo que va de año;2018M05;0,8
Total Nacional;Variación de la media en lo que va de año;2018M04;1,0
Total Nacional;Variación de la media en lo que va de año;2018M03;-1,8
Total Nacional;Variación de la media en lo que va de año;2018M02;2,1
Total Nacional;Variación de la media en lo que va de año;2018M01;5,1
Total Nacional;Variación de la media en lo que va de año;2017M12;2,1
Total Nacional;Variación de la media en lo que va de año;2017M11;2,4
Total Nacional;Variación de la media en lo que va de año;2017M10;2,4
Total Nacional;Variación de la media en lo que va de año;2017M09;2,4
Total Nacional;Variación de la media en lo que va de año;2017M08;3,1
Total Nacional;Variación de la media en lo que va de año;2017M07;3,3
Total Nacional;Variación de la media en lo que va de año;2017M06;3,4
Total Nacional;Variación de la media en lo que va de año;2017M05;3,8
Total Nacional;Variación de la media en lo que va de año;2017M04;3,5
Total Nacional;Variación de la media en lo que va de año;2017M03;7,6
Total Nacional;Variación de la media en lo que va de año;2017M02;3,9
Total Nacional;Variación de la media en lo que va de año;2017M01;5,2
Total Nacional;Variación de la media en lo que va de año;2016M12;3,5
Total Nacional;Variación de la media en lo que va de año;2016M11;3,7
Total Nacional;Variación de la media en lo que va de año;2016M10;3,8
Total Nacional;Variación de la media en lo que va de año;2016M09;4,1
Total Nacional;Variación de la media en lo que va de año;2016M08;3,6
Total Nacional;Variación de la media en lo que va de año;2016M07;3,1
Total Nacional;Variación de la media en lo que va de año;2016M06;3,3
Total Nacional;Variación de la media en lo que va de año;2016M05;2,9
Total Nacional;Variación de la media en lo que va de año;2016M04;2,6
Total Nacional;Variación de la media en lo que va de año;2016M03;0,9
Total Nacional;Variación de la media en lo que va de año;2016M02;2,7
Total Nacional;Variación de la media en lo que va de año;2016M01;0,4
Total Nacional;Variación de la media en lo que va de año;2015M12;1,2
Total Nacional;Variación de la media en lo que va de año;2015M11;1,1
Total Nacional;Variación de la media en lo que va de año;2015M10;0,6
Total Nacional;Variación de la media en lo que va de año;2015M09;1,1
Total Nacional;Variación de la media en lo que va de año;2015M08;1,0
Total Nacional;Variación de la media en lo que va de año;2015M07;0,5
Total Nacional;Variación de la media en lo que va de año;2015M06;0,4
Total Nacional;Variación de la media en lo que va de año;2015M05;-0,3
Total Nacional;Variación de la media en lo que va de año;2015M04;-0,5
Total Nacional;Variación de la media en lo que va de año;2015M03;-1,2
Total Nacional;Variación de la media en lo que va de año;2015M02;-1,9
Total Nacional;Variación de la media en lo que va de año;2015M01;-2,6
Total Nacional;Variación de la media en lo que va de año;2014M12;0,2
Total Nacional;Variación de la media en lo que va de año;2014M11;0,0
Total Nacional;Variación de la media en lo que va de año;2014M10;0,1
Total Nacional;Variación de la media en lo que va de año;2014M09;0,0
Total Nacional;Variación de la media en lo que va de año;2014M08;-0,2
Total Nacional;Variación de la media en lo que va de año;2014M07;-0,1
Total Nacional;Variación de la media en lo que va de año;2014M06;-0,2
Total Nacional;Variación de la media en lo que va de año;2014M05;-0,1
Total Nacional;Variación de la media en lo que va de año;2014M04;0,2
Total Nacional;Variación de la media en lo que va de año;2014M03;2,7
Total Nacional;Variación de la media en lo que va de año;2014M02;0,0
Total Nacional;Variación de la media en lo que va de año;2014M01;-1,6
Total Nacional;Variación de la media en lo que va de año;2013M12;-1,3
Total Nacional;Variación de la media en lo que va de año;2013M11;-1,6
Total Nacional;Variación de la media en lo que va de año;2013M10;-2,1
Total Nacional;Variación de la media en lo que va de año;2013M09;-2,8
Total Nacional;Variación de la media en lo que va de año;2013M08;-3,4
Total Nacional;Variación de la media en lo que va de año;2013M07;-3,4
Total Nacional;Variación de la media en lo que va de año;2013M06;-4,1
Total Nacional;Variación de la media en lo que va de año;2013M05;-4,0
Total Nacional;Variación de la media en lo que va de año;2013M04;-4,4
Total Nacional;Variación de la media en lo que va de año;2013M03;-8,3
Total Nacional;Variación de la media en lo que va de año;2013M02;-6,1
Total Nacional;Variación de la media en lo que va de año;2013M01;-4,3
Total Nacional;Variación de la media en lo que va de año;2012M12;-5,2
Total Nacional;Variación de la media en lo que va de año;2012M11;-4,8
Total Nacional;Variación de la media en lo que va de año;2012M10;-4,3
Total Nacional;Variación de la media en lo que va de año;2012M09;-4,5
Total Nacional;Variación de la media en lo que va de año;2012M08;-3,8
Total Nacional;Variación de la media en lo que va de año;2012M07;-3,5
Total Nacional;Variación de la media en lo que va de año;2012M06;-3,3
Total Nacional;Variación de la media en lo que va de año;2012M05;-2,9
Total Nacional;Variación de la media en lo que va de año;2012M04;-2,5
Total Nacional;Variación de la media en lo que va de año;2012M03;-1,4
Total Nacional;Variación de la media en lo que va de año;2012M02;0,6
Total Nacional;Variación de la media en lo que va de año;2012M01;1,7
01 Andalucía;Viajeros transportados;2020M10;11.499
01 Andalucía;Viajeros transportados;2020M09;10.631
01 Andalucía;Viajeros transportados;2020M08;8.572
01 Andalucía;Viajeros transportados;2020M07;9.633
01 Andalucía;Viajeros transportados;2020M06;7.927
01 Andalucía;Viajeros transportados;2020M05;3.602
01 Andalucía;Viajeros transportados;2020M04;1.662
01 Andalucía;Viajeros transportados;2020M03;9.238
01 Andalucía;Viajeros transportados;2020M02;18.375
01 Andalucía;Viajeros transportados;2020M01;18.280
01 Andalucía;Viajeros transportados;2019M12;20.040
01 Andalucía;Viajeros transportados;2019M11;20.884
01 Andalucía;Viajeros transportados;2019M10;21.094
01 Andalucía;Viajeros transportados;2019M09;18.071
01 Andalucía;Viajeros transportados;2019M08;15.236
01 Andalucía;Viajeros transportados;2019M07;17.128
01 Andalucía;Viajeros transportados;2019M06;17.910
01 Andalucía;Viajeros transportados;2019M05;21.418
01 Andalucía;Viajeros transportados;2019M04;19.184
01 Andalucía;Viajeros transportados;2019M03;19.699
01 Andalucía;Viajeros transportados;2019M02;17.347
01 Andalucía;Viajeros transportados;2019M01;18.187
01 Andalucía;Viajeros transportados;2018M12;19.699
01 Andalucía;Viajeros transportados;2018M11;20.590
01 Andalucía;Viajeros transportados;2018M10;20.785
01 Andalucía;Viajeros transportados;2018M09;18.513
01 Andalucía;Viajeros transportados;2018M08;15.338
01 Andalucía;Viajeros transportados;2018M07;17.472
01 Andalucía;Viajeros transportados;2018M06;19.419
01 Andalucía;Viajeros transportados;2018M05;21.681
01 Andalucía;Viajeros transportados;2018M04;21.295
01 Andalucía;Viajeros transportados;2018M03;20.222
01 Andalucía;Viajeros transportados;2018M02;18.338
01 Andalucía;Viajeros transportados;2018M01;19.169
01 Andalucía;Viajeros transportados;2017M12;18.814
01 Andalucía;Viajeros transportados;2017M11;20.531
01 Andalucía;Viajeros transportados;2017M10;20.988
01 Andalucía;Viajeros transportados;2017M09;18.477
01 Andalucía;Viajeros transportados;2017M08;15.052
01 Andalucía;Viajeros transportados;2017M07;16.464
01 Andalucía;Viajeros transportados;2017M06;18.457
01 Andalucía;Viajeros transportados;2017M05;21.568
01 Andalucía;Viajeros transportados;2017M04;19.430
01 Andalucía;Viajeros transportados;2017M03;20.943
01 Andalucía;Viajeros transportados;2017M02;17.157
01 Andalucía;Viajeros transportados;2017M01;17.814
01 Andalucía;Viajeros transportados;2016M12;18.673
01 Andalucía;Viajeros transportados;2016M11;19.475
01 Andalucía;Viajeros transportados;2016M10;19.481
01 Andalucía;Viajeros transportados;2016M09;17.974
01 Andalucía;Viajeros transportados;2016M08;14.628
01 Andalucía;Viajeros transportados;2016M07;16.117
01 Andalucía;Viajeros transportados;2016M06;18.574
01 Andalucía;Viajeros transportados;2016M05;19.594
01 Andalucía;Viajeros transportados;2016M04;20.127
01 Andalucía;Viajeros transportados;2016M03;19.861
01 Andalucía;Viajeros transportados;2016M02;17.692
01 Andalucía;Viajeros transportados;2016M01;17.651
01 Andalucía;Viajeros transportados;2015M12;18.882
01 Andalucía;Viajeros transportados;2015M11;19.042
01 Andalucía;Viajeros transportados;2015M10;20.030
01 Andalucía;Viajeros transportados;2015M09;18.109
01 Andalucía;Viajeros transportados;2015M08;14.109
01 Andalucía;Viajeros transportados;2015M07;16.832
01 Andalucía;Viajeros transportados;2015M06;18.355
01 Andalucía;Viajeros transportados;2015M05;19.967
01 Andalucía;Viajeros transportados;2015M04;19.964
01 Andalucía;Viajeros transportados;2015M03;20.042
01 Andalucía;Viajeros transportados;2015M02;17.082
01 Andalucía;Viajeros transportados;2015M01;17.446
01 Andalucía;Viajeros transportados;2014M12;18.674
01 Andalucía;Viajeros transportados;2014M11;18.575
01 Andalucía;Viajeros transportados;2014M10;20.573
01 Andalucía;Viajeros transportados;2014M09;17.661
01 Andalucía;Viajeros transportados;2014M08;13.511
01 Andalucía;Viajeros transportados;2014M07;16.496
01 Andalucía;Viajeros transportados;2014M06;17.546
01 Andalucía;Viajeros transportados;2014M05;20.283
01 Andalucía;Viajeros transportados;2014M04;19.253
01 Andalucía;Viajeros transportados;2014M03;19.037
01 Andalucía;Viajeros transportados;2014M02;16.371
01 Andalucía;Viajeros transportados;2014M01;17.792
01 Andalucía;Viajeros transportados;2013M12;17.653
01 Andalucía;Viajeros transportados;2013M11;18.516
01 Andalucía;Viajeros transportados;2013M10;20.501
01 Andalucía;Viajeros transportados;2013M09;17.117
01 Andalucía;Viajeros transportados;2013M08;13.508
01 Andalucía;Viajeros transportados;2013M07;16.386
01 Andalucía;Viajeros transportados;2013M06;17.583
01 Andalucía;Viajeros transportados;2013M05;20.233
01 Andalucía;Viajeros transportados;2013M04;20.277
01 Andalucía;Viajeros transportados;2013M03;18.165
01 Andalucía;Viajeros transportados;2013M02;16.645
01 Andalucía;Viajeros transportados;2013M01;17.954
01 Andalucía;Viajeros transportados;2012M12;17.604
01 Andalucía;Viajeros transportados;2012M11;18.345
01 Andalucía;Viajeros transportados;2012M10;20.512
01 Andalucía;Viajeros transportados;2012M09;16.990
01 Andalucía;Viajeros transportados;2012M08;14.108
01 Andalucía;Viajeros transportados;2012M07;16.651
01 Andalucía;Viajeros transportados;2012M06;18.288
01 Andalucía;Viajeros transportados;2012M05;20.580
01 Andalucía;Viajeros transportados;2012M04;19.125
01 Andalucía;Viajeros transportados;2012M03;20.103
01 Andalucía;Viajeros transportados;2012M02;17.595
01 Andalucía;Viajeros transportados;2012M01;18.597
01 Andalucía;Variación anual;2020M10;-45,5
01 Andalucía;Variación anual;2020M09;-41,2
01 Andalucía;Variación anual;2020M08;-43,7
01 Andalucía;Variación anual;2020M07;-43,8
01 Andalucía;Variación anual;2020M06;-55,7
01 Andalucía;Variación anual;2020M05;-83,2
01 Andalucía;Variación anual;2020M04;-91,3
01 Andalucía;Variación anual;2020M03;-53,1
01 Andalucía;Variación anual;2020M02;5,9
01 Andalucía;Variación anual;2020M01;0,5
01 Andalucía;Variación anual;2019M12;1,7
01 Andalucía;Variación anual;2019M11;1,4
01 Andalucía;Variación anual;2019M10;1,5
01 Andalucía;Variación anual;2019M09;-2,4
01 Andalucía;Variación anual;2019M08;-0,7
01 Andalucía;Variación anual;2019M07;-2,0
01 Andalucía;Variación anual;2019M06;-7,8
01 Andalucía;Variación anual;2019M05;-1,2
01 Andalucía;Variación anual;2019M04;-9,9
01 Andalucía;Variación anual;2019M03;-2,6
01 Andalucía;Variación anual;2019M02;-5,4
01 Andalucía;Variación anual;2019M01;-5,1
01 Andalucía;Variación anual;2018M12;4,7
01 Andalucía;Variación anual;2018M11;0,3
01 Andalucía;Variación anual;2018M10;-1,0
01 Andalucía;Variación anual;2018M09;0,2
01 Andalucía;Variación anual;2018M08;1,9
01 Andalucía;Variación anual;2018M07;6,1
01 Andalucía;Variación anual;2018M06;5,2
01 Andalucía;Variación anual;2018M05;0,5
01 Andalucía;Variación anual;2018M04;9,6
01 Andalucía;Variación anual;2018M03;-3,4
01 Andalucía;Variación anual;2018M02;6,9
01 Andalucía;Variación anual;2018M01;7,6
01 Andalucía;Variación anual;2017M12;0,8
01 Andalucía;Variación anual;2017M11;5,4
01 Andalucía;Variación anual;2017M10;7,7
01 Andalucía;Variación anual;2017M09;2,8
01 Andalucía;Variación anual;2017M08;2,9
01 Andalucía;Variación anual;2017M07;2,2
01 Andalucía;Variación anual;2017M06;-0,6
01 Andalucía;Variación anual;2017M05;10,1
01 Andalucía;Variación anual;2017M04;-3,5
01 Andalucía;Variación anual;2017M03;5,5
01 Andalucía;Variación anual;2017M02;-3,0
01 Andalucía;Variación anual;2017M01;0,9
01 Andalucía;Variación anual;2016M12;-1,1
01 Andalucía;Variación anual;2016M11;2,3
01 Andalucía;Variación anual;2016M10;-2,7
01 Andalucía;Variación anual;2016M09;-0,7
01 Andalucía;Variación anual;2016M08;3,7
01 Andalucía;Variación anual;2016M07;-4,2
01 Andalucía;Variación anual;2016M06;1,2
01 Andalucía;Variación anual;2016M05;-1,9
01 Andalucía;Variación anual;2016M04;0,8
01 Andalucía;Variación anual;2016M03;-0,9
01 Andalucía;Variación anual;2016M02;3,6
01 Andalucía;Variación anual;2016M01;1,2
01 Andalucía;Variación anual;2015M12;1,1
01 Andalucía;Variación anual;2015M11;2,5
01 Andalucía;Variación anual;2015M10;-2,6
01 Andalucía;Variación anual;2015M09;2,5
01 Andalucía;Variación anual;2015M08;4,4
01 Andalucía;Variación anual;2015M07;2,0
01 Andalucía;Variación anual;2015M06;4,6
01 Andalucía;Variación anual;2015M05;-1,6
01 Andalucía;Variación anual;2015M04;3,7
01 Andalucía;Variación anual;2015M03;5,3
01 Andalucía;Variación anual;2015M02;4,3
01 Andalucía;Variación anual;2015M01;-1,9
01 Andalucía;Variación anual;2014M12;5,8
01 Andalucía;Variación anual;2014M11;0,3
01 Andalucía;Variación anual;2014M10;0,4
01 Andalucía;Variación anual;2014M09;3,2
01 Andalucía;Variación anual;2014M08;0,0
01 Andalucía;Variación anual;2014M07;0,7
01 Andalucía;Variación anual;2014M06;-0,2
01 Andalucía;Variación anual;2014M05;0,2
01 Andalucía;Variación anual;2014M04;-5,1
01 Andalucía;Variación anual;2014M03;4,8
01 Andalucía;Variación anual;2014M02;-1,6
01 Andalucía;Variación anual;2014M01;-0,9
01 Andalucía;Variación anual;2013M12;0,3
01 Andalucía;Variación anual;2013M11;0,9
01 Andalucía;Variación anual;2013M10;-0,1
01 Andalucía;Variación anual;2013M09;0,7
01 Andalucía;Variación anual;2013M08;-4,3
01 Andalucía;Variación anual;2013M07;-1,6
01 Andalucía;Variación anual;2013M06;-3,9
01 Andalucía;Variación anual;2013M05;-1,7
01 Andalucía;Variación anual;2013M04;6,0
01 Andalucía;Variación anual;2013M03;-9,6
01 Andalucía;Variación anual;2013M02;-5,4
01 Andalucía;Variación anual;2013M01;-3,5
01 Andalucía;Variación anual;2012M12;-7,1
01 Andalucía;Variación anual;2012M11;-7,8
01 Andalucía;Variación anual;2012M10;2,4
01 Andalucía;Variación anual;2012M09;-6,4
01 Andalucía;Variación anual;2012M08;-4,8
01 Andalucía;Variación anual;2012M07;-2,6
01 Andalucía;Variación anual;2012M06;-6,2
01 Andalucía;Variación anual;2012M05;-4,0
01 Andalucía;Variación anual;2012M04;-1,3
01 Andalucía;Variación anual;2012M03;-3,0
01 Andalucía;Variación anual;2012M02;0,3
01 Andalucía;Variación anual;2012M01;0,0
01 Andalucía;Variación de la media en lo que va de año;2020M10;-46,3
01 Andalucía;Variación de la media en lo que va de año;2020M09;-46,4
01 Andalucía;Variación de la media en lo que va de año;2020M08;-47,1
01 Andalucía;Variación de la media en lo que va de año;2020M07;-47,5
01 Andalucía;Variación de la media en lo que va de año;2020M06;-48,1
01 Andalucía;Variación de la media en lo que va de año;2020M05;-46,6
01 Andalucía;Variación de la media en lo que va de año;2020M04;-36,1
01 Andalucía;Variación de la media en lo que va de año;2020M03;-16,9
01 Andalucía;Variación de la media en lo que va de año;2020M02;3,2
01 Andalucía;Variación de la media en lo que va de año;2020M01;0,5
01 Andalucía;Variación de la media en lo que va de año;2019M12;-2,7
01 Andalucía;Variación de la media en lo que va de año;2019M11;-3,1
01 Andalucía;Variación de la media en lo que va de año;2019M10;-3,6
01 Andalucía;Variación de la media en lo que va de año;2019M09;-4,2
01 Andalucía;Variación de la media en lo que va de año;2019M08;-4,5
