Sexo;Edad;Provincias;Periodo;Total
ambos sexos;0;teruel;1 de enero de 2020;982
ambos sexos;0;toledo;1 de enero de 2020;5.497
ambos sexos;0;valencia/valencia;1 de enero de 2020;18.946
ambos sexos;0;valladolid;1 de enero de 2020;3.317
ambos sexos;0;zamora;1 de enero de 2020;838
ambos sexos;0;zaragoza;1 de enero de 2020;7.127
ambos sexos;0;ceuta;1 de enero de 2020;832
ambos sexos;0;melilla;1 de enero de 2020;1.221
ambos sexos;1;total nacional;1 de enero de 2020;378.390
ambos sexos;1;albacete;1 de enero de 2020;3.078
ambos sexos;1;alicante/alacant;1 de enero de 2020;14.665
ambos sexos;1;almeria;1 de enero de 2020;7.552
ambos sexos;1;araba/alava;1 de enero de 2020;2.731
ambos sexos;1;asturias;1 de enero de 2020;5.815
ambos sexos;1;avila;1 de enero de 2020;1.012
ambos sexos;1;badajoz;1 de enero de 2020;5.259
ambos sexos;1;balears, illes;1 de enero de 2020;10.552
ambos sexos;1;barcelona;1 de enero de 2020;47.721
ambos sexos;1;bizkaia;1 de enero de 2020;8.087
ambos sexos;1;burgos;1 de enero de 2020;2.410
ambos sexos;1;caceres;1 de enero de 2020;2.622
ambos sexos;1;cadiz;1 de enero de 2020;10.374
ambos sexos;1;cantabria;1 de enero de 2020;3.860
ambos sexos;1;castellon/castello;1 de enero de 2020;4.730
ambos sexos;1;ciudad real;1 de enero de 2020;3.728
ambos sexos;1;cordoba;1 de enero de 2020;6.265
ambos sexos;1;corunya, a;1 de enero de 2020;7.293
ambos sexos;1;cuenca;1 de enero de 2020;1.338
ambos sexos;1;gipuzkoa;1 de enero de 2020;5.554
ambos sexos;1;girona;1 de enero de 2020;6.911
ambos sexos;1;granada;1 de enero de 2020;7.579
ambos sexos;1;guadalajara;1 de enero de 2020;2.242
ambos sexos;1;huelva;1 de enero de 2020;4.311
ambos sexos;1;huesca;1 de enero de 2020;1.709
ambos sexos;1;jaen;1 de enero de 2020;4.902
ambos sexos;1;leon;1 de enero de 2020;2.674
ambos sexos;1;lleida;1 de enero de 2020;3.564
ambos sexos;1;lugo;1 de enero de 2020;1.997
ambos sexos;1;madrid;1 de enero de 2020;58.359
ambos sexos;1;malaga;1 de enero de 2020;13.937
ambos sexos;1;murcia;1 de enero de 2020;14.835
ambos sexos;1;navarra;1 de enero de 2020;5.557
ambos sexos;1;ourense;1 de enero de 2020;1.510
ambos sexos;1;palencia;1 de enero de 2020;987
ambos sexos;1;palmas, las;1 de enero de 2020;7.943
ambos sexos;1;pontevedra;1 de enero de 2020;6.102
ambos sexos;1;rioja, la;1 de enero de 2020;2.408
ambos sexos;1;salamanca;1 de enero de 2020;2.108
ambos sexos;1;santa cruz de tenerife;1 de enero de 2020;7.222
ambos sexos;1;segovia;1 de enero de 2020;1.074
ambos sexos;1;sevilla;1 de enero de 2020;17.222
ambos sexos;1;soria;1 de enero de 2020;626
ambos sexos;1;tarragona;1 de enero de 2020;6.884
ambos sexos;1;teruel;1 de enero de 2020;962
ambos sexos;1;toledo;1 de enero de 2020;6.060
ambos sexos;1;valencia/valencia;1 de enero de 2020;19.788
ambos sexos;1;valladolid;1 de enero de 2020;3.592
ambos sexos;1;zamora;1 de enero de 2020;875
ambos sexos;1;zaragoza;1 de enero de 2020;7.556
ambos sexos;1;ceuta;1 de enero de 2020;950
ambos sexos;1;melilla;1 de enero de 2020;1.298
ambos sexos;2;total nacional;1 de enero de 2020;405.115
ambos sexos;2;albacete;1 de enero de 2020;3.314
ambos sexos;2;alicante/alacant;1 de enero de 2020;16.006
ambos sexos;2;almeria;1 de enero de 2020;7.804
ambos sexos;2;araba/alava;1 de enero de 2020;3.010
ambos sexos;2;asturias;1 de enero de 2020;6.208
ambos sexos;2;avila;1 de enero de 2020;1.121
ambos sexos;2;badajoz;1 de enero de 2020;5.779
ambos sexos;2;balears, illes;1 de enero de 2020;10.716
ambos sexos;2;barcelona;1 de enero de 2020;50.709
ambos sexos;2;bizkaia;1 de enero de 2020;8.730
ambos sexos;2;burgos;1 de enero de 2020;2.559
ambos sexos;2;caceres;1 de enero de 2020;2.789
ambos sexos;2;cadiz;1 de enero de 2020;11.060
ambos sexos;2;cantabria;1 de enero de 2020;4.262
ambos sexos;2;castellon/castello;1 de enero de 2020;5.041
ambos sexos;2;ciudad real;1 de enero de 2020;4.095
ambos sexos;2;cordoba;1 de enero de 2020;6.574
ambos sexos;2;corunya, a;1 de enero de 2020;8.061
ambos sexos;2;cuenca;1 de enero de 2020;1.448
ambos sexos;2;gipuzkoa;1 de enero de 2020;5.750
ambos sexos;2;girona;1 de enero de 2020;7.479
ambos sexos;2;granada;1 de enero de 2020;8.162
ambos sexos;2;guadalajara;1 de enero de 2020;2.366
ambos sexos;2;huelva;1 de enero de 2020;4.796
ambos sexos;2;huesca;1 de enero de 2020;1.826
ambos sexos;2;jaen;1 de enero de 2020;4.934
ambos sexos;2;leon;1 de enero de 2020;2.716
ambos sexos;2;lleida;1 de enero de 2020;3.906
ambos sexos;2;lugo;1 de enero de 2020;2.129
ambos sexos;2;madrid;1 de enero de 2020;62.158
ambos sexos;2;malaga;1 de enero de 2020;15.228
ambos sexos;2;murcia;1 de enero de 2020;15.458
ambos sexos;2;navarra;1 de enero de 2020;6.032
ambos sexos;2;ourense;1 de enero de 2020;1.781
ambos sexos;2;palencia;1 de enero de 2020;1.085
ambos sexos;2;palmas, las;1 de enero de 2020;8.614
ambos sexos;2;pontevedra;1 de enero de 2020;7.105
ambos sexos;2;rioja, la;1 de enero de 2020;2.692
ambos sexos;2;salamanca;1 de enero de 2020;2.080
ambos sexos;2;santa cruz de tenerife;1 de enero de 2020;7.997
ambos sexos;2;segovia;1 de enero de 2020;1.123
ambos sexos;2;sevilla;1 de enero de 2020;18.167
ambos sexos;2;soria;1 de enero de 2020;627
ambos sexos;2;tarragona;1 de enero de 2020;7.396
ambos sexos;2;teruel;1 de enero de 2020;987
ambos sexos;2;toledo;1 de enero de 2020;6.604
ambos sexos;2;valencia/valencia;1 de enero de 2020;21.454
ambos sexos;2;valladolid;1 de enero de 2020;3.825
ambos sexos;2;zamora;1 de enero de 2020;899
ambos sexos;2;zaragoza;1 de enero de 2020;8.209
ambos sexos;2;ceuta;1 de enero de 2020;980
ambos sexos;2;melilla;1 de enero de 2020;1.264
ambos sexos;3;total nacional;1 de enero de 2020;428.395
ambos sexos;3;albacete;1 de enero de 2020;3.452
ambos sexos;3;alicante/alacant;1 de enero de 2020;16.679
ambos sexos;3;almeria;1 de enero de 2020;8.119
ambos sexos;3;araba/alava;1 de enero de 2020;3.182
ambos sexos;3;asturias;1 de enero de 2020;6.616
ambos sexos;3;avila;1 de enero de 2020;1.202
ambos sexos;3;badajoz;1 de enero de 2020;5.919
ambos sexos;3;balears, illes;1 de enero de 2020;11.316
ambos sexos;3;barcelona;1 de enero de 2020;53.278
ambos sexos;3;bizkaia;1 de enero de 2020;9.377
ambos sexos;3;burgos;1 de enero de 2020;2.781
ambos sexos;3;caceres;1 de enero de 2020;2.936
ambos sexos;3;cadiz;1 de enero de 2020;12.181
ambos sexos;3;cantabria;1 de enero de 2020;4.450
ambos sexos;3;castellon/castello;1 de enero de 2020;5.489
ambos sexos;3;ciudad real;1 de enero de 2020;4.333
ambos sexos;3;cordoba;1 de enero de 2020;7.009
ambos sexos;3;corunya, a;1 de enero de 2020;8.652
ambos sexos;3;cuenca;1 de enero de 2020;1.570
ambos sexos;3;gipuzkoa;1 de enero de 2020;6.259
ambos sexos;3;girona;1 de enero de 2020;7.653
ambos sexos;3;granada;1 de enero de 2020;8.866
ambos sexos;3;guadalajara;1 de enero de 2020;2.587
ambos sexos;3;huelva;1 de enero de 2020;4.872
ambos sexos;3;huesca;1 de enero de 2020;1.826
ambos sexos;3;jaen;1 de enero de 2020;5.401
ambos sexos;3;leon;1 de enero de 2020;2.979
ambos sexos;3;lleida;1 de enero de 2020;4.084
ambos sexos;3;lugo;1 de enero de 2020;2.220
ambos sexos;3;madrid;1 de enero de 2020;65.497
ambos sexos;3;malaga;1 de enero de 2020;16.127
ambos sexos;3;murcia;1 de enero de 2020;16.083
ambos sexos;3;navarra;1 de enero de 2020;6.330
ambos sexos;3;ourense;1 de enero de 2020;1.853
ambos sexos;3;palencia;1 de enero de 2020;1.088
ambos sexos;3;palmas, las;1 de enero de 2020;9.143
ambos sexos;3;pontevedra;1 de enero de 2020;7.144
ambos sexos;3;rioja, la;1 de enero de 2020;2.803
ambos sexos;3;salamanca;1 de enero de 2020;2.300
ambos sexos;3;santa cruz de tenerife;1 de enero de 2020;8.284
ambos sexos;3;segovia;1 de enero de 2020;1.229
ambos sexos;3;sevilla;1 de enero de 2020;19.384
ambos sexos;3;soria;1 de enero de 2020;677
ambos sexos;3;tarragona;1 de enero de 2020;7.797
ambos sexos;3;teruel;1 de enero de 2020;1.066
ambos sexos;3;toledo;1 de enero de 2020;7.057
ambos sexos;3;valencia/valencia;1 de enero de 2020;23.055
ambos sexos;3;valladolid;1 de enero de 2020;4.183
ambos sexos;3;zamora;1 de enero de 2020;943
ambos sexos;3;zaragoza;1 de enero de 2020;8.719
ambos sexos;3;ceuta;1 de enero de 2020;1.005
ambos sexos;3;melilla;1 de enero de 2020;1.345
ambos sexos;4;total nacional;1 de enero de 2020;440.044
ambos sexos;4;albacete;1 de enero de 2020;3.616
ambos sexos;4;alicante/alacant;1 de enero de 2020;17.477
ambos sexos;4;almeria;1 de enero de 2020;8.212
ambos sexos;4;araba/alava;1 de enero de 2020;3.295
ambos sexos;4;asturias;1 de enero de 2020;6.731
ambos sexos;4;avila;1 de enero de 2020;1.176
ambos sexos;4;badajoz;1 de enero de 2020;5.940
ambos sexos;4;balears, illes;1 de enero de 2020;11.507
ambos sexos;4;barcelona;1 de enero de 2020;54.373
ambos sexos;4;bizkaia;1 de enero de 2020;9.672
ambos sexos;4;burgos;1 de enero de 2020;2.915
ambos sexos;4;caceres;1 de enero de 2020;2.978
ambos sexos;4;cadiz;1 de enero de 2020;12.228
ambos sexos;4;cantabria;1 de enero de 2020;4.587
ambos sexos;4;castellon/castello;1 de enero de 2020;5.416
ambos sexos;4;ciudad real;1 de enero de 2020;4.379
ambos sexos;4;cordoba;1 de enero de 2020;7.174
ambos sexos;4;corunya, a;1 de enero de 2020;8.789
ambos sexos;4;cuenca;1 de enero de 2020;1.619
ambos sexos;4;gipuzkoa;1 de enero de 2020;6.586
ambos sexos;4;girona;1 de enero de 2020;8.049
ambos sexos;4;granada;1 de enero de 2020;8.870
ambos sexos;4;guadalajara;1 de enero de 2020;2.706
ambos sexos;4;huelva;1 de enero de 2020;5.100
ambos sexos;4;huesca;1 de enero de 2020;1.994
ambos sexos;4;jaen;1 de enero de 2020;5.453
ambos sexos;4;leon;1 de enero de 2020;3.162
ambos sexos;4;lleida;1 de enero de 2020;4.253
ambos sexos;4;lugo;1 de enero de 2020;2.232
ambos sexos;4;madrid;1 de enero de 2020;67.758
ambos sexos;4;malaga;1 de enero de 2020;16.537
ambos sexos;4;murcia;1 de enero de 2020;16.564
ambos sexos;4;navarra;1 de enero de 2020;6.484
ambos sexos;4;ourense;1 de enero de 2020;1.948
ambos sexos;4;palencia;1 de enero de 2020;1.224
ambos sexos;4;palmas, las;1 de enero de 2020;9.059
ambos sexos;4;pontevedra;1 de enero de 2020;7.336
ambos sexos;4;rioja, la;1 de enero de 2020;2.895
ambos sexos;4;salamanca;1 de enero de 2020;2.437
ambos sexos;4;santa cruz de tenerife;1 de enero de 2020;8.612
ambos sexos;4;segovia;1 de enero de 2020;1.251
ambos sexos;4;sevilla;1 de enero de 2020;19.854
ambos sexos;4;soria;1 de enero de 2020;709
ambos sexos;4;tarragona;1 de enero de 2020;8.158
ambos sexos;4;teruel;1 de enero de 2020;1.052
ambos sexos;4;toledo;1 de enero de 2020;7.120
ambos sexos;4;valencia/valencia;1 de enero de 2020;23.788
ambos sexos;4;valladolid;1 de enero de 2020;4.374
ambos sexos;4;zamora;1 de enero de 2020;983
